"depthclass","hind","simulation","varname","year","month","date","unit","value_dc_610","value_dc_620","value_dc_630","value_610","value_620","value_630","value_dc_610_to_630"
"Bottom","yes","ssp126","temp",1986,2,1986-02-14,"Celsius",3.29289372133631,3.72723821254213,3.83880264886344,3.10974873063045,3.60258410862059,3.13227506623338,3.66379121810702
"Bottom","yes","ssp126","temp",1986,3,1986-03-16,"Celsius",3.28887706566762,3.92354066301369,4.02233287675012,3.14904413998839,3.71351681143185,3.27628976493099,3.8018421751474
"Bottom","yes","ssp126","temp",1986,4,1986-04-15,"Celsius",3.80086101633595,4.10260713876599,4.67124399615578,3.59421238070364,3.92822892794954,3.93013182810566,4.28021382427067
"Bottom","yes","ssp126","temp",1986,5,1986-05-16,"Celsius",4.5120020667002,4.71216283824246,6.08723703695269,4.12172713745983,4.31218366792352,5.06360265340193,5.28039192516173
"Bottom","yes","ssp126","temp",1986,6,1986-06-15,"Celsius",5.49156403757761,5.46027797613947,7.42960518554598,4.77372518203916,4.73688661022913,6.14503316317334,6.35738031567838
"Bottom","yes","ssp126","temp",1986,7,1986-07-16,"Celsius",6.25217144824669,6.00406097573482,8.44747560588702,5.40532967282274,5.14691194571108,7.11988434698231,7.17196555114273
"Bottom","yes","ssp126","temp",1986,8,1986-08-16,"Celsius",6.74641116887019,6.49448618043597,9.06086507509139,5.71068620621189,5.45679428279825,7.79122077964347,7.71889320028809
"Bottom","yes","ssp126","temp",1986,9,1986-09-15,"Celsius",7.07299990184448,7.03602177727211,9.13272703982158,5.78103895376641,5.73360535258293,7.67675906375129,7.99211077869645
"Bottom","yes","ssp126","temp",1986,10,1986-10-16,"Celsius",7.44287043923634,7.42019977383502,8.61409360774657,5.93755750939903,5.98497899486629,7.19546664043713,7.96503356509958
"Bottom","yes","ssp126","temp",1986,11,1986-11-15,"Celsius",6.88800239901739,6.97220063550937,7.17418454289424,5.77393201628013,5.90611498117501,6.05324709028618,7.04130998352006
"Bottom","yes","ssp126","temp",1986,12,1986-12-16,"Celsius",6.29692598984625,6.34184217533673,5.97733475805505,5.3590358243236,5.55773017412966,4.91289121854493,6.16554398756408
"Bottom","yes","ssp126","temp",1987,1,1987-01-16,"Celsius",5.08910716478679,5.16184591627224,4.55930524489903,4.59288573300993,4.69791930988748,3.81661682868315,4.87081557797786
"Bottom","yes","ssp126","temp",1987,2,1987-02-14,"Celsius",4.0856600152905,3.76909865117424,3.81157358369574,3.71174879250782,3.62948146398053,3.11086593873805,3.8712143152296
"Bottom","yes","ssp126","temp",1987,3,1987-03-16,"Celsius",3.48965505151338,3.3038820640614,3.67888088915568,3.3031990743332,3.2449235266076,2.94243360809552,3.52182227995021
"Bottom","yes","ssp126","temp",1987,4,1987-04-15,"Celsius",3.78997506466216,3.7940737330727,4.40926154916292,3.58378590463618,3.645103728756,3.63148451907051,4.0706801873893
"Bottom","yes","ssp126","temp",1987,5,1987-05-16,"Celsius",4.27422536769306,4.44589693461073,5.75117679225365,3.87572098765226,4.04390185232224,4.67069119963858,4.9900871786365
"Bottom","yes","ssp126","temp",1987,6,1987-06-15,"Celsius",5.06950372849521,5.20965078602612,7.11691566049242,4.31856025883154,4.47052718457923,5.80427288498396,6.03382184686042
"Bottom","yes","ssp126","temp",1987,7,1987-07-16,"Celsius",5.79855832997141,5.82029502316618,8.2118705757505,4.88574454851464,4.92490880895225,6.86083959705822,6.8940969732177
"Bottom","yes","ssp126","temp",1987,8,1987-08-16,"Celsius",6.315551715097,6.34091329125527,8.79460531811771,5.1796353790771,5.26465710838801,7.5097894365929,7.44180329064408
